Tweet	Label
pagi2 udah di buat emosi :)	Anger
kok stabilitas negara, memange 10 thn negara tdk aman, bahkan sby menyuburkan ormas2 radikal, intoleran, teroris, yg berafiliasi ke partai tertentu..narasi klhtn intelektual tp bodoh..	Anger
dah lah emosi mulu liat emyu	Anger
aib? bodoh benar! sebelum kata aib itu muncul, terlebih dahulu sudah ada tindakan. yakni kekejian! jangan kau sembunyikan caramu menelaah masalah. semisal anak perempuanmu ditempeleng! apa kau juga setuju untuk dia bersikap bungkam? melapor polisi adl benar. lantas apa bedanya	Anger
dih lu yg nyebelin bego	Anger
asli malu maluin org indo tolol yg rep latah "cilukba" pake huruf hijaiyah sm "ngntd" sama ganti huruf t pake salib, ada tiktok filipin lewat fyp aku dan repnya "ngtd" semua, dasar goblogg trend tiktok ter tolol	Anger
drama abg tolol	Anger
masih emosi sih sama katla kemarin. mana keterangannya gini aja. ((hasil mengaci)) kzl.	Anger
bangsat tribute no.1, bencana no.2 mau ngalahin ini keknya	Anger
pengen pergi jauh terus teriak sambil nangis sekencang kencangnya nanti balik kalo gue udah lupa segalanya wkwj kn tolol mustahil banget	Anger
ya allah mau marah tpi gimana ya	Anger
silibus kita memang kbat gila babi. bodoh yang buat silibus ni. learning should be fun.	Anger
pagi-pagi dikerjain orang haha dikira gua bego, ya gua ladenin lahh liat sampe manaa	Anger
angka covid lagi naek. kalo masih dilanjut event offlinenya, asli bodoh sih ni brand.	Anger
bukan lebih ke sangar sih , kalo menurutku goblokk bin tolol . di ingetin untuk kebaikan malah acuh	Anger
mas ngelonte dulu mas, biar otaknya jadi seger lg, bagi org kafir seperti lu ngewe dgn lonte ibadah yg utama. punya tolol kok kebangetan bgt sih	Anger
1-10!! marah aku	Anger
tolol banget. mana ada bercinta. yg ada mimpi di kejar kejar setan semalem. asu bocil nih yang iya iya aja kalo bicara	Anger
izinin suami poligami buat menghindari zina? lol banget, heh mmngnya nabi saya poligami gegara mata keranjang trus sangean? trus ada niatan zina, tpi biar gak zina jdi dinikahin? ngelirik cewek sambil nyebarin ajaran agama gitu? tolol, belajar agama lagi sana	Anger
gua nyerah joki aja kali ya tugas poem ya allah kenapa aku bego b ing	Anger
hah? kaya dendam bnaget sama ibu	Anger
huahh benci covid bangett. semoga berhenti di jimin tidak ada jungkook dan juga taehyung. no god pliss	Anger
benci banget sama diri sendiri, gampang nangis kalo ngobrol sama orang tua.	Anger
ni geng lgbt patutle. libtard, gay, bodoh, tahi	Anger
iya ni tvn kan suka memancing emosi penonton	Anger
sei ini ya gue baru bangun tidur udh bikin emosi aja	Anger
mau marah bangeett kenapa orang orang jahat bgt si	Anger
kadang suka emosi baca beginian tapi orang goblog emang susah kalo diajak ngobrol	Anger
si mutajir mancing emosi sih pagi2	Anger
udah gw baca panjang-panjang kirain analisisnya bakal boom. ternyta hanya hasil pikiran otak pendek. tolol	Anger
emosi bung	Anger
mvp pun kene marah tak capai kpi ke ?	Anger
opini lu jelek bro. menutup keburukan dg agama lu benarkan. poligami untuk menghindari zina? tolol! palkon banyak bacot ttg agama ya gini	Anger
kapan ya manajemen di rs diubah biar ga lempar lemparan gini anjimm orang ke rs tuh butuh penanganan cepet bukan bolak balik ribet. emosi kan gue ajgg	Anger
