Tweet	Label
akibat dari telat bangun, anak ikut bangun dan dapur dan rumah tidak kepegang sampe jam segini. sedih karena berantakan, tp gppa dehh penting anak dah mandi dan kenyang dulu. alon-alon asal kelakon	Sad
sepi	Sad
sedih dah	Sad
sedih emg kalo ditinggal temen ngebucin, sedih ga ada waktu main sm temen, sedih krna pengen ngebucin jg	Sad
sedih bener niih club ya	Sad
sch! soalnya di sekolah ku (jateng) kekurangan guru bangett,,banyak guru yg bukan bidangnya justru ngajar di bidang tsb,dan bahkan kepseknya juga rangkap sama sekolah lain. kl emg ini bener sedih banget,gimana generasi kedepannya :(	Sad
kok saya tetap sedih ya	Sad
ya allah aku sedih kali sumpah denise hsgsfscs dari awal aku udh bad feeling tapi masih berharap gitulo paham kan	Sad
gk bs gmbr biar folls/ moots mengerti dan tdk kecewa dgn diriku yang tak bisa gmbr tp maksa sok gmbr	Sad
semoga kamu tak perlu mengenal sedih ku, semoga kau mengenal ku, yang hanya ku, dengan segala baik dan buruk ku..	Sad
dih sepi amat	Sad
gua semalem lagi asik baca tiba tiba dia lock akun sedih bgt	Sad
asli ikutan sedih banget denise out, aku suka banget suaranyaa:(	Sad
yuna jangan lewat tl dong, w jdi sedih lagi	Sad
sedih baru ngeh jimin ngerayain tahun baru di rumah sakit ya	Sad
bener sih waktu itu lagi pengen nonton yg sedih-sedih langsung cus nonton ini dan berakhir mewek nangis	Sad
pagi" saya udh di sambut tangis bunda	Sad
mon, jgn cerita sedih muluu.. ____	Sad
sedih banget :((	Sad
yatuhann sedih bgt gue juga dritadi bacain review orang2 pda jelek2 bgt abis minum bukannya langsing malah pada sakit parah2 ngeri	Sad
gpp sedih aja	Sad
sedih banget ya jadi wanita	Sad
saya suka kucing tapi sedih saya tidak boleh pegang atau pelihara kucing karena punya alergi ( kalau tidak salah suga rl punya alergi sama bulu meong, kan?)	Sad
ini bangsa yang sedih dan menyedihkan..	Sad
ko aku sedih ya di godain k chita pakai twit, lom win	Sad
iyhh, jadi sepi bngett huhuu	Sad
maaf tadi awal liat ketawa. kirain lagi cosplay jadi pocong. pas tau emang emengnya meninggal, jadi sedih. maafkeun ya emeng	Sad
sedih bgt	Sad
jadi ikut sedih anjir	Sad
kecewa	Sad
saat ini kamu sedang lelah sedih hingga kecewa karena setiap hal yang kamu perjuangkan tidak pernah sesuai harapan.	Sad
jibe kajja lah.. sedih bgt bye.. nangis di rooftop juga sedih,	Sad
tl gue sepi bgt dah	Sad
sedih membaca isi twitt anda,macam tak ada isinya..dan amehnya anda menikmati semua komen2 di lapak anda ini	Sad
5 feb, hari ini flight balik jakarta. 12.50. sedih, degdegan, mixed feelings banget ampe deg"an. apalagi tadi dipeluk gitu pas bangun tidur. ck	Sad
penontoon kok sepi sih? tarak tarak tass	Sad
sedih gila dia ckp camtu	Sad
full sedih maszehh	Sad
sedih banget masi pagi.	Sad
sedih ada orang suka kita. hakhak	Sad
yahh sedih bgt	Sad
sedih banget:)	Sad
lockey pasti sedih kecewa tp sebenarnya yg paling sedih adlh member" yg hrs kehilangan denise kita tau hubungan denita (couple) kita tau hubungan dejin (best friend) kita tau hubungn antar member (family) so lockey hrs kuat krn lockey adlh sumber semangat dri secret number	Sad
sejak hari itu, ga ada satu orang pun yang gw percaya lagi. teman, sahabat, saudara, orang tua bukan orang yang tepat buat gw cerita segala senang, sedih, bahagia maupun susah gw. bahkan tuhan pun sepertinya enggan gw jadiin tempat mengadu.	Sad
tl twt sepi bngett, kalian pada di fb semua yhh?	Sad
sedih bgt farewell giftnya yeppeoseo :((	Sad
umurku sekarang sama kayak kamu nder, dan deket sama cowok terakhir tuh 2 tahun lalu kayaknya. sekarang gak pernah ada yg deketin lagi wkwk paling sedih dikata perawan tua:(	Sad
kok sepi rep nya gak kek pas masa-masa penjilat	Sad
wlopun bukan bagian fandom, tp tiap ada member boy/girlgrup keluar tuh rasanya ikut sedih:"	Sad
dirumah sepi karna lagi pada pergi tanpa diriku	Sad
yakaann sedih ga sii pdhl pengen pake jugaa karna lucu gemass	Sad
aa sedih	Sad
sedih bgt sedib..	Sad
jam segini udh bangun sedih bgt :(	Sad
mimpinya kayak nyata, diakhir-akhir dia pergi, nangiss aku sedih beneran anjir, rasanya sedih pake banget	Sad
mau nomor buat verif sedih akun ke log terus	Sad
sedih banget kok ada orang kayak gitu, rasanya mau ku ulek tau. manusia bukan sih	Sad
sabtu galau, 05 feb 2022 actually ngga yang galau galau banget sih tapi kayak sedih sama ngakak juga entah yang keberapa kalinya suka sama seseorang yang udah punya pacar even though blm officially liat dan denger sendiri dari orangnya or his social media hahhaha	Sad
ayang knp sedih? aku sedih juga jadinya	Sad
why? rasa sedih la hri ni..smlm tgk ada lgi..pgi ni dh takde..hurmm..apapon sangka baikk	Sad
ga ngikutin sn tapi ikut sedih dengernya	Sad
gue lagi sedih banget loch ges	Sad
2x suka seseorang dan orang itu suka orang lain. berturut-turut. sedih amat hidup saya :(	Sad
pacar di rebut batur? kalem ulah sedih, nu aya brsyukur eta tandanna gusti allah nyaah ka maneh, geus misahkeun maneh ti jelma nu gampangan.	Sad
jujur malah sedih sih liat kenyataan nya	Sad
sedih	Sad
sedih juga ka bangun bangun di kolong jembatan, gak tau harus kemana	Sad
mandi sore, soalnya mo les. sedih malem minggu malah les	Sad
yaah, sedih deh	Sad
sedih hati syafakillah my fav girl. cepat2 positive cantik n chumils jehh!! see you soon.	Sad
kusut, belum di hibur ama ayang .heh	Sad
"kok buna kuat sih?" "kok buna biasa aja?" percayalah aku pernah ditahap sedih, kecewa dn terluka. tapi saat ini kejelasan yg aku terima membuat rasa itu sembuh sendirinya. berdamai ikhlas, now is 6 + 1 not only 6 or only 1. don't forget vote streaming!	Sad
kecewa dikit	Sad
kecewa sama diri sendiri	Sad
gue kalo liat haechan di tl tuh beneran mellow dah.. soalnya beneran kayak rasanya putus baik-baik, dipaksa putus karena keadaan (nangis dah gw) tapi seneng juga liatnya, kayak, oh dia masih sama kok.. masih as bright as sunshine, masih as sweet as honey. sedih	Sad
barca udh mulai negosiasi brng araujo blm sih jgn smpe blunder bkin araujo kecewa	Sad
have u ever. malem2 nonton film ga sedih. tp sedih ngeliat idup lo	Sad
